n,tp,fp,tn,fn,precision,recall,f1,accuracy,dataset,detector,transform,flip_rate
2732,1234,1385,92,21,0.471172203130966,0.9832669322709163,0.6370676303562209,0.48535871156661786,codexglue,regvd_structural_local,blank_line_expansion,0.00036603221083455345
2732,1234,1386,91,21,0.47099236641221376,0.9832669322709163,0.6369032258064516,0.48499267935578333,codexglue,regvd_structural_local,brace_line_shift,0.0021961932650073207
2732,1237,1405,72,18,0.46820590461771383,0.9856573705179282,0.6348473184500898,0.4791361639824305,codexglue,regvd_structural_local,code_normalization_abstraction,0.010248901903367497
2732,1239,1411,66,16,0.4675471698113208,0.9872509960159362,0.6345710627400768,0.47767203513909223,codexglue,regvd_structural_local,comment_banner,0.029282576866764276
2732,1235,1385,92,20,0.4713740458015267,0.9840637450199203,0.6374193548387096,0.4857247437774524,codexglue,regvd_structural_local,control_flow_rewrite,0.0
2732,1248,1458,19,7,0.4611973392461197,0.9944223107569721,0.6301439030547842,0.4637628111273792,codexglue,regvd_structural_local,dead_branch_after_opening_brace,0.03513909224011713
2732,1233,1394,83,22,0.46935668062428626,0.9824701195219123,0.6352395672333848,0.4816983894582723,codexglue,regvd_structural_local,identifier_renaming,0.011346998535871157
2732,1255,1470,7,0,0.46055045871559636,1.0,0.6306532663316583,0.46193265007320644,codexglue,regvd_structural_local,safe_dead_code_carrier,0.03916544655929722
2732,1085,931,546,170,0.5381944444444444,0.8645418326693227,0.6634056863344543,0.5969985358711567,codexglue,vulberta_devign_local,blank_line_expansion,0.0
2732,1085,931,546,170,0.5381944444444444,0.8645418326693227,0.6634056863344543,0.5969985358711567,codexglue,vulberta_devign_local,brace_line_shift,0.0
2732,1094,945,532,161,0.5365375183913683,0.8717131474103585,0.6642380085003036,0.5951683748169839,codexglue,vulberta_devign_local,code_normalization_abstraction,0.009150805270863836
2732,1085,931,546,170,0.5381944444444444,0.8645418326693227,0.6634056863344543,0.5969985358711567,codexglue,vulberta_devign_local,comment_banner,0.0
2732,1085,931,546,170,0.5381944444444444,0.8645418326693227,0.6634056863344543,0.5969985358711567,codexglue,vulberta_devign_local,control_flow_rewrite,0.0
2732,1115,1000,477,140,0.5271867612293144,0.8884462151394422,0.6617210682492582,0.582723279648609,codexglue,vulberta_devign_local,dead_branch_after_opening_brace,0.03623718887262079
2732,1051,860,617,204,0.5499738356881214,0.8374501992031872,0.6639292482627921,0.6105417276720352,codexglue,vulberta_devign_local,identifier_renaming,0.047218155197657395
2732,1130,1025,452,125,0.5243619489559165,0.900398406374502,0.6627565982404692,0.5790629575402635,codexglue,vulberta_devign_local,safe_dead_code_carrier,0.05087847730600293
5000,240,4052,691,17,0.05591798695246971,0.933852140077821,0.10551769619696637,0.1862,diversevul,codebert_devign_local,blank_line_expansion,0.0
5000,240,4052,691,17,0.05591798695246971,0.933852140077821,0.10551769619696637,0.1862,diversevul,codebert_devign_local,brace_line_shift,0.0
5000,241,4215,528,16,0.05408438061041292,0.9377431906614786,0.10227031614682792,0.1538,diversevul,codebert_devign_local,code_normalization_abstraction,0.0332
5000,234,3643,1100,23,0.06035594531854527,0.9105058365758755,0.11320754716981132,0.2668,diversevul,codebert_devign_local,comment_banner,0.083
5000,240,4053,690,17,0.055904961565338925,0.933852140077821,0.1054945054945055,0.186,diversevul,codebert_devign_local,control_flow_rewrite,0.0002
5000,240,4301,442,17,0.05285179475886369,0.933852140077821,0.1000416840350146,0.1364,diversevul,codebert_devign_local,dead_branch_after_opening_brace,0.0522
5000,238,4061,682,19,0.05536171202605257,0.9260700389105059,0.10447761194029852,0.184,diversevul,codebert_devign_local,identifier_renaming,0.0238
5000,242,4358,385,15,0.052608695652173916,0.9416342412451362,0.09964998970557958,0.1254,diversevul,codebert_devign_local,safe_dead_code_carrier,0.0628
5000,257,4699,44,0,0.05185633575464084,1.0,0.0985996547093804,0.0602,diversevul,linevul_local,blank_line_expansion,0.0
5000,257,4715,28,0,0.05168946098149638,1.0,0.09829795371964045,0.057,diversevul,linevul_local,brace_line_shift,0.0032
5000,257,4718,25,0,0.05165829145728643,1.0,0.09824159021406727,0.0564,diversevul,linevul_local,code_normalization_abstraction,0.0038
5000,257,4737,6,0,0.051461754104925914,1.0,0.09788611693010857,0.0526,diversevul,linevul_local,comment_banner,0.008
5000,257,4699,44,0,0.05185633575464084,1.0,0.0985996547093804,0.0602,diversevul,linevul_local,control_flow_rewrite,0.0
5000,257,4743,0,0,0.0514,1.0,0.09777439604337074,0.0514,diversevul,linevul_local,dead_branch_after_opening_brace,0.0088
5000,257,4700,43,0,0.05184587452087956,1.0,0.0985807441503644,0.06,diversevul,linevul_local,identifier_renaming,0.0002
5000,257,4743,0,0,0.0514,1.0,0.09777439604337074,0.0514,diversevul,linevul_local,safe_dead_code_carrier,0.0088
5000,256,4567,176,1,0.05307899647522289,0.9961089494163424,0.10078740157480315,0.0864,diversevul,regvd_structural_local,blank_line_expansion,0.0026
5000,256,4544,199,1,0.05333333333333334,0.9961089494163424,0.1012457979038956,0.091,diversevul,regvd_structural_local,brace_line_shift,0.006
5000,256,4600,143,1,0.05271828665568369,0.9961089494163424,0.1001369059260708,0.0798,diversevul,regvd_structural_local,code_normalization_abstraction,0.0136
