dataset,detector,transform,f1,balanced_accuracy,mcc,pr_auc,flip_count,flip_n,flip_rate,flip_ci_low,flip_ci_high,mcnemar_clean_only_correct,mcnemar_variant_only_correct,mcnemar_exact_p
codexglue,codebert_devign_local,code_normalization_abstraction,0.6649168853893264,0.6041494145287503,0.2574850805581169,0.6347085469453363,51,2732,0.018667642752562226,0.014226937675171084,0.024460047814959588,34,17,0.024092907698449295
codexglue,codebert_devign_local,comment_banner,0.6583662313999392,0.6089205803731587,0.24938494254160576,0.6268178593837014,85,2732,0.031112737920937043,0.025231970959553974,0.0383102559703756,39,46,0.5154257318839006
codexglue,codebert_devign_local,control_flow_rewrite,0.664890467732386,0.6088863233592374,0.2607544906974264,0.6339700852063216,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,codebert_devign_local,dead_branch_after_opening_brace,0.6635595688901835,0.6020583879782158,0.2529921177630707,0.634137569993586,55,2732,0.02013177159590044,0.015499680913992377,0.02611145062787934,39,16,0.0026672623828598026
codexglue,codebert_devign_local,identifier_renaming,0.6613427979887607,0.6041860992050755,0.24993895064002952,0.6328848369684713,75,2732,0.02745241581259151,0.021957308236365863,0.034274553564211094,44,31,0.16542794172425662
codexglue,codebert_devign_local,safe_dead_code_carrier,0.6628175519630485,0.5981965165741907,0.24876511943240656,0.6341519140821871,86,2732,0.0314787701317716,0.025560805278446397,0.03871245816441844,61,25,0.00013037942991199537
codexglue,linevul_local,blank_line_expansion,0.6295460245798846,0.5,0.0,0.46339036155777985,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,linevul_local,brace_line_shift,0.6295460245798846,0.5,0.0,0.46827497663750084,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,linevul_local,code_normalization_abstraction,0.6295460245798846,0.5,0.0,0.46339159534348945,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,linevul_local,comment_banner,0.6295460245798846,0.5,0.0,0.46339036155777985,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,linevul_local,control_flow_rewrite,0.6295460245798846,0.5,0.0,0.46339036155777985,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,linevul_local,dead_branch_after_opening_brace,0.6295460245798846,0.5,0.0,0.4633897141833912,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,linevul_local,identifier_renaming,0.6295460245798846,0.5,0.0,0.4681335420827145,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,linevul_local,safe_dead_code_carrier,0.6295460245798846,0.5,0.0,0.4633897141833912,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,regvd_structural_local,blank_line_expansion,0.6370676303562209,0.5227776773744561,0.11401042708165456,0.5508155018263032,1,2732,0.00036603221083455345,6.461659550125766e-05,0.0020705432478663223,1,0,1.0
codexglue,regvd_structural_local,brace_line_shift,0.6369032258064516,0.5224391533392496,0.11279475768341725,0.5501095490280807,6,2732,0.0021961932650073207,0.0010069117138963688,0.004783430694147521,4,2,0.6875
codexglue,regvd_structural_local,code_normalization_abstraction,0.6348473184500898,0.5172024157938321,0.09606028825268839,0.5508986214169189,28,2732,0.010248901903367497,0.007100412722084743,0.014772732970534906,23,5,0.0009122341871261597
codexglue,regvd_structural_local,comment_banner,0.6345710627400768,0.5159680843315971,0.09327495767383413,0.5339422018315777,80,2732,0.029282576866764276,0.023591419742967117,0.03629562462228615,51,29,0.01831609751691632
codexglue,regvd_structural_local,control_flow_rewrite,0.6374193548387097,0.5231760837489582,0.11649908135980201,0.5510986978873809,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,regvd_structural_local,dead_branch_after_opening_brace,0.6301439030547842,0.5036431120474095,0.037399350901394325,0.5185617300353667,96,2732,0.03513909224011713,0.028861308109583015,0.04272232046263444,78,18,4.4469352439058753e-10
codexglue,regvd_structural_local,identifier_renaming,0.6352395672333848,0.5193325546830956,0.10023206262484784,0.5426638036393485,31,2732,0.011346998535871157,0.008005402269331207,0.01606085296209423,21,10,0.07075554598122835
codexglue,regvd_structural_local,safe_dead_code_carrier,0.6306532663316583,0.5023696682464455,0.046719413478858156,0.5082112576179287,107,2732,0.03916544655929722,0.03251470824688296,0.04711032196762237,86,21,1.6010060804361699e-10
codexglue,vulberta_devign_local,blank_line_expansion,0.6634056863344543,0.6171050395574101,0.2654091653940618,0.6517001210984342,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,vulberta_devign_local,brace_line_shift,0.6634056863344543,0.6171050395574101,0.2654091653940618,0.6517001210984342,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,vulberta_devign_local,code_normalization_abstraction,0.6642380085003036,0.6159513604350371,0.2656089619473482,0.6520118204702324,25,2732,0.009150805270863836,0.006205971288981482,0.013474064864832384,15,10,0.42435622215270996
codexglue,vulberta_devign_local,comment_banner,0.6634056863344543,0.6171050395574101,0.2654091653940618,0.6517001210984342,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,vulberta_devign_local,control_flow_rewrite,0.6634056863344543,0.6171050395574101,0.2654091653940618,0.651734683632295,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,vulberta_devign_local,dead_branch_after_opening_brace,0.6617210682492581,0.6056990723632214,0.2519506680458838,0.6503818464392437,99,2732,0.03623718887262079,0.029855466662418347,0.043921271448604894,69,30,0.00011094036326812598
codexglue,vulberta_devign_local,identifier_renaming,0.6639292482627922,0.6275944293240039,0.2773779269129885,0.6427980585809308,129,2732,0.047218155197657395,0.039880602693084626,0.05582723080599646,46,83,0.0014292326992851555
codexglue,vulberta_devign_local,safe_dead_code_carrier,0.6627565982404692,0.6032120671005888,0.25203510631103176,0.6511229603787406,139,2732,0.05087847730600293,0.04325061276086235,0.05976758586757136,94,45,3.938353472549577e-05
diversevul,codebert_devign_local,blank_line_expansion,0.10551769619696637,0.5397702614789274,0.050377322388056214,0.06143504325542257,0,5000,0.0,0.0,0.0007677019450571243,0,0,1.0
diversevul,codebert_devign_local,brace_line_shift,0.10551769619696637,0.5397702614789274,0.050377322388056214,0.06146009897100156,0,5000,0.0,0.0,0.0007677019450571243,0,0,1.0
diversevul,codebert_devign_local,code_normalization_abstraction,0.10227031614682792,0.5245325693977855,0.034793179271311266,0.060769540033224156,166,5000,0.0332,0.028581422740299713,0.03853530379560562,164,2,2.9639891529038413e-46
diversevul,codebert_devign_local,comment_banner,0.11320754716981132,0.5712132809276173,0.07536094504890303,0.06983505885343935,415,5000,0.083,0.0756694423922962,0.09097082102988144,6,409,1.6411833329322025e-112
diversevul,codebert_devign_local,control_flow_rewrite,0.1054945054945055,0.5396648429674368,0.050273452106991634,0.06144241973464573,1,5000,0.0002,3.5305783439365155e-05,0.0011320890808397361,1,0,1.0
diversevul,codebert_devign_local,dead_branch_after_opening_brace,0.1000416840350146,0.5135210521177636,0.02068004658537411,0.06044596760047018,261,5000,0.0522,0.04637122809422762,0.05871632576776554,255,6,2.2899861571419546e-67
diversevul,codebert_devign_local,identifier_renaming,0.1044776119402985,0.5349304442918542,0.04443083731180654,0.061934106795956234,119,5000,0.0238,0.019926464464337726,0.028404694868134683,65,54,0.35935826390511216
diversevul,codebert_devign_local,safe_dead_code_carrier,0.09964998970557958,0.5114032475464559,0.01856276900819495,0.06011136885371259,314,5000,0.0628,0.05640536126909045,0.06986591731166751,309,5,1.500441769321052e-84
diversevul,linevul_local,blank_line_expansion,0.0985996547093804,0.5046384145055872,0.021933133837686088,0.06857580396472084,0,5000,0.0,0.0,0.0007677019450571243,0,0,1.0
diversevul,linevul_local,brace_line_shift,0.09829795371964047,0.5029517183217374,0.017468413151732358,0.06896723352108598,16,5000,0.0032,0.0019707278219023715,0.0051920608307063874,16,0,3.0517578125e-05
diversevul,linevul_local,code_normalization_abstraction,0.09824159021406728,0.5026354627872655,0.01650112146427574,0.0685799515278605,19,5000,0.0038,0.0024341388508856755,0.005927728559389016,19,0,3.814697265625e-06
diversevul,linevul_local,comment_banner,0.09788611693010855,0.5006325110689437,0.008068473101972251,0.06807792344279741,40,5000,0.008,0.0058806817250996474,0.010874736988836562,39,1,7.457856554538012e-11
diversevul,linevul_local,control_flow_rewrite,0.0985996547093804,0.5046384145055872,0.021933133837686088,0.06861893273567117,0,5000,0.0,0.0,0.0007677019450571243,0,0,1.0
diversevul,linevul_local,dead_branch_after_opening_brace,0.09777439604337074,0.5,0.0,0.06807675620733826,44,5000,0.0088,0.0065620374399733145,0.011792152950850805,44,0,1.1368683772161603e-13
diversevul,linevul_local,identifier_renaming,0.0985807441503644,0.5045329959940965,0.021680274053322304,0.06892828269290681,1,5000,0.0002,3.5305783439365155e-05,0.0011320890808397361,1,0,1.0
diversevul,linevul_local,safe_dead_code_carrier,0.09777439604337074,0.5,0.0,0.06807675620733825,44,5000,0.0088,0.0065620374399733145,0.011792152950850805,44,0,1.1368683772161603e-13
diversevul,regvd_structural_local,blank_line_expansion,0.10078740157480315,0.51660813273052,0.03969160516529363,0.0679664194874736,13,5000,0.0026,0.0015201269998326157,0.004443582895110211,9,4,0.266845703125
diversevul,regvd_structural_local,brace_line_shift,0.1012457979038956,0.5190327584948041,0.04289327827485794,0.06856881323372573,30,5000,0.006,0.0042061361604981045,0.008552353361218335,6,24,0.0014309063553810122
diversevul,regvd_structural_local,code_normalization_abstraction,0.1001369059260708,0.5131293218513295,0.03466928054527045,0.06547090305320591,68,5000,0.0136,0.010742591831619498,0.017204228620532072,53,15,4.11597033439493e-06
diversevul,regvd_structural_local,comment_banner,0.10060915700530557,0.5156593661271044,0.0383777221533765,0.07417917899147636,196,5000,0.0392,0.03416493726116426,0.04494257685140038,105,91,0.35314085510666426
diversevul,regvd_structural_local,control_flow_rewrite,0.10088669950738917,0.5171352252879731,0.040405812722415786,0.06759130175512243,0,5000,0.0,0.0,0.0007677019450571243,0,0,1.0
diversevul,regvd_structural_local,dead_branch_after_opening_brace,0.0979794128860084,0.5011596036263968,0.010930237279444461,0.06991900148329383,179,5000,0.0358,0.030996250022910007,0.041316484462881026,174,5,3.888568772365192e-45
diversevul,regvd_structural_local,identifier_renaming,0.10136067836718596,0.5196078431372549,0.045755512953427675,0.07081982033595054,40,5000,0.008,0.0058806817250996474,0.010874736988836562,17,23,0.42959050784338615
diversevul,regvd_structural_local,safe_dead_code_carrier,0.09799809342230696,0.5012650221378874,0.011417404823066015,0.07888299077780367,186,5000,0.0372,0.032299593797888555,0.04281099112245631,177,9,1.2951769392733184e-41
diversevul,vulberta_devign_local,blank_line_expansion,0.10598446779351302,0.5413892765172678,0.04801923200300902,0.06824559335910113,0,5000,0.0,0.0,0.0007677019450571243,0,0,1.0
diversevul,vulberta_devign_local,brace_line_shift,0.10598446779351302,0.5413892765172678,0.04801923200300902,0.06824559335910113,0,5000,0.0,0.0,0.0007677019450571243,0,0,1.0
diversevul,vulberta_devign_local,code_normalization_abstraction,0.10467205750224619,0.5356392504702814,0.04282405209547376,0.06778980673783196,78,5000,0.0156,0.012518237134049051,0.01942551251032229,75,3,5.238237034277805e-19
diversevul,vulberta_devign_local,comment_banner,0.10598446779351302,0.5413892765172678,0.04801923200300902,0.06818583830240049,0,5000,0.0,0.0,0.0007677019450571243,0,0,1.0
diversevul,vulberta_devign_local,control_flow_rewrite,0.10598446779351302,0.5413892765172678,0.04801923200300902,0.0682343205737369,0,5000,0.0,0.0,0.0007677019450571243,0,0,1.0
diversevul,vulberta_devign_local,dead_branch_after_opening_brace,0.10004275331338179,0.5138656106767212,0.01913650318882165,0.06590078523488452,300,5000,0.06,0.05374897325570842,0.06692660445594185,298,2,4.433009581033153e-86
diversevul,vulberta_devign_local,identifier_renaming,0.10733365711510442,0.5462377076683148,0.04868639874734862,0.0720479040280971,292,5000,0.0584,0.05223283299055025,0.06524520136732419,27,265,2.730802611477279e-50
diversevul,vulberta_devign_local,safe_dead_code_carrier,0.09872411629366241,0.5071093915998264,0.01069770904630794,0.06416326524195903,403,5000,0.0806,0.07337259170799372,0.0884713566835202,399,4,1.0588139797011465e-112
