detector,base_id,transform,cwe,score_margin,vdcp_success,score_tie,decision_success
VulBERTa-public,bigvul-14f2111f9cec919a450115ce4914f228effca58e-383,identifier_renaming,CWE-281,-0.1534663438796997,0.0,0.0,0.0
VulBERTa-public,bigvul-14f2111f9cec919a450115ce4914f228effca58e-383,original,CWE-281,-0.014583885669708252,0.0,0.0,0.0
VulBERTa-public,bigvul-14f2111f9cec919a450115ce4914f228effca58e-383,safe_dead_code_carrier,CWE-281,-0.09948545694351196,0.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-511,blank_line_expansion,unknown,0.05236689746379852,1.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-511,brace_line_shift,unknown,0.05236689746379852,1.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-511,code_normalization_abstraction,unknown,0.050706662237644196,1.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-511,comment_banner,unknown,0.048725396394729614,1.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-511,control_flow_rewrite,unknown,0.05236689746379852,1.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-511,dead_branch_after_opening_brace,unknown,-0.8463690131902695,0.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-511,identifier_renaming,unknown,0.05236689746379852,1.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-511,original,unknown,0.05236689746379852,1.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-511,safe_dead_code_carrier,unknown,-0.7538008689880371,0.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-556,blank_line_expansion,unknown,-0.09069007635116577,0.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-556,brace_line_shift,unknown,-0.09069007635116577,0.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-556,code_normalization_abstraction,unknown,-0.09069007635116577,0.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-556,comment_banner,unknown,-0.5679803788661957,0.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-556,control_flow_rewrite,unknown,-0.09069007635116577,0.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-556,dead_branch_after_opening_brace,unknown,-0.37938445806503296,0.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-556,identifier_renaming,unknown,-0.09069007635116577,0.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-556,original,unknown,-0.09069007635116577,0.0,0.0,0.0
VulBERTa-public,bigvul-19190765882e272a6a2162c89acdb29110f7e3cf-556,safe_dead_code_carrier,unknown,-0.3565475344657898,0.0,0.0,0.0
VulBERTa-public,bigvul-1dcd10aceabbc03bf571ea32b892c522cbe923de-1555,blank_line_expansion,CWE-125,-0.027853935956954956,0.0,0.0,0.0
VulBERTa-public,bigvul-1dcd10aceabbc03bf571ea32b892c522cbe923de-1555,brace_line_shift,CWE-125,-0.027853935956954956,0.0,0.0,0.0
VulBERTa-public,bigvul-1dcd10aceabbc03bf571ea32b892c522cbe923de-1555,code_normalization_abstraction,CWE-125,-0.027853935956954956,0.0,0.0,0.0
VulBERTa-public,bigvul-1dcd10aceabbc03bf571ea32b892c522cbe923de-1555,comment_banner,CWE-125,0.052830375730991364,1.0,0.0,0.0
VulBERTa-public,bigvul-1dcd10aceabbc03bf571ea32b892c522cbe923de-1555,control_flow_rewrite,CWE-125,-0.027853935956954956,0.0,0.0,0.0
VulBERTa-public,bigvul-1dcd10aceabbc03bf571ea32b892c522cbe923de-1555,dead_branch_after_opening_brace,CWE-125,0.03441573679447174,1.0,0.0,0.0
VulBERTa-public,bigvul-1dcd10aceabbc03bf571ea32b892c522cbe923de-1555,identifier_renaming,CWE-125,-0.01703619956970215,0.0,0.0,0.0
VulBERTa-public,bigvul-1dcd10aceabbc03bf571ea32b892c522cbe923de-1555,original,CWE-125,-0.027853935956954956,0.0,0.0,0.0
VulBERTa-public,bigvul-1dcd10aceabbc03bf571ea32b892c522cbe923de-1555,safe_dead_code_carrier,CWE-125,-0.08351442217826843,0.0,0.0,0.0
VulBERTa-public,bigvul-2ac4c6f7b2b2af20c0e2b0ba05367e454cd11b33-241,blank_line_expansion,CWE-400,-0.0336112380027771,0.0,0.0,0.0
VulBERTa-public,bigvul-2ac4c6f7b2b2af20c0e2b0ba05367e454cd11b33-241,brace_line_shift,CWE-400,-0.0336112380027771,0.0,0.0,0.0
VulBERTa-public,bigvul-2ac4c6f7b2b2af20c0e2b0ba05367e454cd11b33-241,code_normalization_abstraction,CWE-400,-0.0336112380027771,0.0,0.0,0.0
VulBERTa-public,bigvul-2ac4c6f7b2b2af20c0e2b0ba05367e454cd11b33-241,comment_banner,CWE-400,-0.051422715187072754,0.0,0.0,0.0
VulBERTa-public,bigvul-2ac4c6f7b2b2af20c0e2b0ba05367e454cd11b33-241,control_flow_rewrite,CWE-400,-0.0336112380027771,0.0,0.0,0.0
VulBERTa-public,bigvul-2ac4c6f7b2b2af20c0e2b0ba05367e454cd11b33-241,dead_branch_after_opening_brace,CWE-400,-0.03132987022399902,0.0,0.0,0.0
VulBERTa-public,bigvul-2ac4c6f7b2b2af20c0e2b0ba05367e454cd11b33-241,identifier_renaming,CWE-400,0.0029206275939941406,1.0,0.0,0.0
VulBERTa-public,bigvul-2ac4c6f7b2b2af20c0e2b0ba05367e454cd11b33-241,original,CWE-400,-0.0336112380027771,0.0,0.0,0.0
VulBERTa-public,bigvul-2ac4c6f7b2b2af20c0e2b0ba05367e454cd11b33-241,safe_dead_code_carrier,CWE-400,-0.004170119762420654,0.0,0.0,0.0
VulBERTa-public,bigvul-3119b232c9c453c98d8fa8b6ae4e37ba18117cd4-2315,blank_line_expansion,CWE-476,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-3119b232c9c453c98d8fa8b6ae4e37ba18117cd4-2315,brace_line_shift,CWE-476,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-3119b232c9c453c98d8fa8b6ae4e37ba18117cd4-2315,code_normalization_abstraction,CWE-476,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-3119b232c9c453c98d8fa8b6ae4e37ba18117cd4-2315,comment_banner,CWE-476,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-3119b232c9c453c98d8fa8b6ae4e37ba18117cd4-2315,control_flow_rewrite,CWE-476,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-3119b232c9c453c98d8fa8b6ae4e37ba18117cd4-2315,dead_branch_after_opening_brace,CWE-476,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-3119b232c9c453c98d8fa8b6ae4e37ba18117cd4-2315,identifier_renaming,CWE-476,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-3119b232c9c453c98d8fa8b6ae4e37ba18117cd4-2315,original,CWE-476,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-3119b232c9c453c98d8fa8b6ae4e37ba18117cd4-2315,safe_dead_code_carrier,CWE-476,0.0,0.0,1.0,0.0
VulBERTa-public,bigvul-34cec721d39c76be1e0a600829a7b17bdfb832b6-1759,blank_line_expansion,CWE-835,2.7604401111602783e-05,1.0,0.0,0.0
VulBERTa-public,bigvul-34cec721d39c76be1e0a600829a7b17bdfb832b6-1759,brace_line_shift,CWE-835,2.7604401111602783e-05,1.0,0.0,0.0
VulBERTa-public,bigvul-34cec721d39c76be1e0a600829a7b17bdfb832b6-1759,code_normalization_abstraction,CWE-835,-0.0017060935497283936,0.0,0.0,0.0
VulBERTa-public,bigvul-34cec721d39c76be1e0a600829a7b17bdfb832b6-1759,comment_banner,CWE-835,3.188103437423706e-05,1.0,0.0,0.0
VulBERTa-public,bigvul-34cec721d39c76be1e0a600829a7b17bdfb832b6-1759,control_flow_rewrite,CWE-835,2.7604401111602783e-05,1.0,0.0,0.0
VulBERTa-public,bigvul-34cec721d39c76be1e0a600829a7b17bdfb832b6-1759,dead_branch_after_opening_brace,CWE-835,0.00014294683933258057,1.0,0.0,0.0
VulBERTa-public,bigvul-34cec721d39c76be1e0a600829a7b17bdfb832b6-1759,identifier_renaming,CWE-835,0.0002641752362251282,1.0,0.0,0.0
VulBERTa-public,bigvul-34cec721d39c76be1e0a600829a7b17bdfb832b6-1759,original,CWE-835,2.7604401111602783e-05,1.0,0.0,0.0
VulBERTa-public,bigvul-34cec721d39c76be1e0a600829a7b17bdfb832b6-1759,safe_dead_code_carrier,CWE-835,-0.0001889839768409729,0.0,0.0,0.0
VulBERTa-public,bigvul-363b02dab09b3226f3bd1420dad9c72b79a42a76-820,blank_line_expansion,CWE-20,-0.09711860120296478,0.0,0.0,0.0
