detector,cwe,pairs,vdcp,mean_score_margin,score_tie_rate,decision_pair_success
ReGVD-official-validation-calibrated,CWE416,8,0.125,-0.0028279758989810944,0.0,0.0
ReGVD-official-validation-calibrated,CWE426,8,0.375,-0.0023652203381061554,0.0,0.0
ReGVD-official-validation-calibrated,CWE457,8,0.0,-0.012208539992570877,0.0,0.0
ReGVD-official-validation-calibrated,CWE789,8,0.125,-0.025466151535511017,0.0,0.0
ReGVD-official-validation-calibrated,CWE843,8,0.0,-0.004170343279838562,0.0,0.0
ReGVD-official-validation-calibrated,CWE121,7,0.42857142857142855,0.0009819013731820242,0.0,0.0
ReGVD-official-validation-calibrated,CWE190,7,0.2857142857142857,-0.00509671654020037,0.0,0.0
ReGVD-official-validation-calibrated,CWE191,7,0.42857142857142855,-0.006846436432429722,0.0,0.0
ReGVD-official-validation-calibrated,CWE195,7,0.42857142857142855,-0.014568018061774117,0.0,0.0
ReGVD-official-validation-calibrated,CWE197,7,0.5714285714285714,-0.01339179277420044,0.0,0.0
ReGVD-official-validation-calibrated,CWE464,7,0.0,-0.01357574122292655,0.0,0.0
ReGVD-official-validation-calibrated,CWE665,7,0.5714285714285714,-0.0007908216544560023,0.0,0.0
ReGVD-official-validation-calibrated,CWE427,6,0.3333333333333333,-0.011559019486109415,0.0,0.0
ReGVD-official-validation-calibrated,CWE476,6,0.5,-0.0013931244611740112,0.0,0.0
ReGVD-official-validation-calibrated,CWE369,5,0.4,-0.01115732192993164,0.0,0.0
