dataset,detector,transform,n,precision,recall,f1,balanced_accuracy,mcc,pr_auc,flip_rate,flip_ci_low,flip_ci_high,flip_count,flip_n
codexglue_512_reviewer_probes,vulberta_devign_local,identifier_renaming_fresh_marker,512,0.5853658536585366,0.84375,0.6912,0.623046875,0.2742580271594031,0.6540041926411926,0.041015625,0.02698094895608158,0.06188639203953343,21,512
codexglue_512_reviewer_probes,vulberta_devign_local,identifier_renaming_in_vocab,512,0.5620437956204379,0.90234375,0.6926536731634183,0.599609375,0.25031598156446366,0.6751856075093031,0.064453125,0.04625916646746477,0.0891340975411401,33,512
codexglue_512_reviewer_probes,vulberta_devign_local,identifier_renaming_project_style,512,0.5804749340369393,0.859375,0.6929133858267716,0.619140625,0.2716967287709987,0.6527006573903948,0.041015625,0.02698094895608158,0.06188639203953343,21,512
codexglue_512_reviewer_probes,linevul_local,comp_dead_branch__identifier_renaming__brace_line_shift,512,0.571078431372549,0.91015625,0.7018072289156626,0.61328125,0.2815666685504738,0.6927692670991958,0.0390625,0.0254270798652394,0.05956310087929312,20,512
codexglue_512_reviewer_probes,linevul_local,comp_identifier_renaming__brace_line_shift,512,0.5764411027568922,0.8984375,0.7022900763358778,0.619140625,0.2872791885605491,0.692822237281538,0.025390625,0.014897398253755445,0.042952660733199644,13,512
codexglue_512_reviewer_probes,linevul_local,comp_identifier_renaming__comment_banner,512,0.578125,0.8671875,0.69375,0.6171875,0.2706329386826371,0.6804453238286023,0.046875,0.031699460685993844,0.06879936106286863,24,512
codexglue_512_reviewer_probes,linevul_local,comp_safe_dead_code__code_normalization,512,0.5656324582338902,0.92578125,0.7022222222222222,0.607421875,0.2786212291066537,0.6918780570708825,0.044921875,0.030117718759024466,0.06650394273875551,23,512
codexglue_512_reviewer_probes,linevul_local,identifier_renaming_fresh_marker,512,0.5764411027568922,0.8984375,0.7022900763358778,0.619140625,0.2872791885605491,0.692894219541762,0.025390625,0.014897398253755445,0.042952660733199644,13,512
codexglue_512_reviewer_probes,linevul_local,identifier_renaming_in_vocab,512,0.5534441805225653,0.91015625,0.6883308714918759,0.587890625,0.22990624575140223,0.7034132431764197,0.052734375,0.036492305788731,0.07563799671337894,27,512
codexglue_512_reviewer_probes,linevul_local,identifier_renaming_project_style,512,0.5753768844221105,0.89453125,0.7003058103975535,0.6171875,0.2816808280046399,0.6928230406570307,0.02734375,0.016356725239303357,0.045370493998734225,14,512
codexglue_512_reviewer_probes,regvd_structural_local,comp_dead_branch__identifier_renaming__brace_line_shift,512,0.5029585798816568,0.99609375,0.6684141546526867,0.505859375,0.059584359172421796,0.5507146940523813,0.033203125,0.02083204403601035,0.052526655955274705,17,512
codexglue_512_reviewer_probes,regvd_structural_local,comp_identifier_renaming__brace_line_shift,512,0.5122448979591837,0.98046875,0.6729222520107239,0.5234375,0.11557711927941293,0.5751330889980737,0.01171875,0.0053815716968398115,0.02532836553253786,6,512
codexglue_512_reviewer_probes,regvd_structural_local,comp_identifier_renaming__comment_banner,512,0.5070707070707071,0.98046875,0.6684420772303595,0.513671875,0.07630815968623501,0.560898166670935,0.037109375,0.023883775518617992,0.05722924497483203,19,512
codexglue_512_reviewer_probes,regvd_structural_local,comp_safe_dead_code__code_normalization,512,0.5009784735812133,1.0,0.6675358539765319,0.501953125,0.04423739552038088,0.5408511861410772,0.041015625,0.02698094895608158,0.06188639203953343,21,512
codexglue_512_reviewer_probes,regvd_structural_local,identifier_renaming_fresh_marker,512,0.5122448979591837,0.98046875,0.6729222520107239,0.5234375,0.11557711927941293,0.5751795808028011,0.01171875,0.0053815716968398115,0.02532836553253786,6,512
codexglue_512_reviewer_probes,regvd_structural_local,identifier_renaming_in_vocab,512,0.5112474437627812,0.9765625,0.6711409395973155,0.521484375,0.10372282520615808,0.5924429232816935,0.001953125,0.00034485776154337486,0.01097927821242185,1,512
codexglue_512_reviewer_probes,regvd_structural_local,identifier_renaming_project_style,512,0.5112016293279023,0.98046875,0.6720214190093708,0.521484375,0.10832839077674207,0.574473301379315,0.009765625,0.004178301706740295,0.022654475271554883,5,512
